word,count
月,12
日,17
星,8
期,8
上,9
海,9
回,12
南,13
京,13
雪,6
晨,9
点,34
起,10
昨,3
下,7
午,11
大,11
人,22
晚,9
闻,2
檐,1
头,2
滴,1
水,4
声,1
不,36
止,5
以,18
为,23
也,17
及,4
视,1
之,90
乃,3
已,8
变,1
漾,2
细,1
雨,4
矣,6
中,28
吃,1
暖,1
锅,1
即,9
乘,2
车,5
返,3
天,3
仍,1
客,2
颇,3
拥,1
挤,1
元,13
旦,2
而,11
有,17
如,11
许,6
出,10
意,9
料,3
外,6
分,11
抵,2
苏,1
州,1
田,2
野,2
尚,8
少,5
自,6
无,8
锡,1
东,2
西,3
则,29
皆,1
满,2
积,1
误,1
约,3
余,13
钟,3
侠,4
借,5
刘,1
福,2
藩,1
均,8
在,35
站,2
相,3
接,13
阅,8
ö,2
薛,1
定,7
诗,1
著,9
陀,1
町,1
α,1
科,14
学,27
与,17
本,5
性,6
书,13
关,12
于,34
物,21
理,8
确,2
论,3
章,6
谓,16
量,4
度,9
精,4
密,3
只,3
能,11
到,4
限,4
制,5
地,10
位,1
同,4
速,1
超,3
过,4
云,9
又,6
因,10
果,1
说,6
足,3
恃,2
面,2
垂,1
由,2
心,3
吸,1
力,4
可,14
然,4
当,3
体,2
极,4
小,6
时,18
此,9
难,4
凭,1
信,3
故,9
昔,4
卢,3
瑟,1
玻,2
尔,3
原,4
子,7
亦,9
太,6
阳,1
系,5
般,1
甚,4
晴,2
继,3
廉,3
张,2
镜,4
欧,3
来,27
姊,4
翼,2
后,9
至,15
沙,5
塘,2
园,3
半,18
所,26
往,4
件,3
电,12
报,7
寓,6
遂,1
但,8
渠,7
等,11
先,1
离,1
膳,5
赴,2
诸,1
孩,1
新,4
都,3
戏,2
看,5
秀,2
兰,1
邓,1
波,2
姑,2
娘,2
影,4
陪,2
婆,2
作,13
叶,1
岩,2
座,1
硕,2
民,6
谈,8
对,6
德,6
国,15
界,2
知,10
其,20
梗,1
概,2
并,5
金,6
斯,2
胜,3
爱,1
丁,5
顿,1
罗,3
素,8
观,2
各,6
长,5
批,1
评,1
去,5
将,4
平,5
庸,1
他,3
的,3
Ú,1
展,2
望,2
例,3
易,7
读,3
叙,2
述,4
较,3
切,1
申,1
且,1
俱,1
乐,1
部,9
年,13
版,5
顾,1
文,8
全,3
教,3
重,5
内,7
仅,3
得,4
古,2
种,6
价,5
值,2
占,3
类,1
社,1
会,3
最,3
多,3
史,3
次,7
应,2
用,5
技,1
术,1
品,3
近,4
虽,2
减,2
马,4
名,3
湛,2
溪,1
王,3
延,1
璋,1
赵,5
树,1
森,1
孙,2
毓,1
华,4
瞿,1
邃,1
朱,3
允,2
明,8
李,7
锋,1
微,5
尘,1
数,7
增,4
加,8
倍,2
项,2
空,1
气,4
层,1
光,1
辐,1
射,1
若,3
干,2
响,2
言,1
弟,8
公,1
处,4
刻,3
适,4
未,3
几,3
片,1
纽,1
泰,6
晤,3
士,2
军,3
议,2
情,1
形,1
该,2
美,6
绝,1
优,1
势,2
现,8
英,3
战,1
斗,2
舰,3
比,2
巡,1
洋,2
越,1
利,2
志,1
弱,1
欲,2
殊,2
芝,2
高,6
琪,3
珊,3
函,27
甘,2
省,4
建,4
厅,1
宁,1
夏,1
测,3
候,3
北,3
阁,1
线,1
台,6
塔,1
拆,2
卸,1
者,5
己,2
颖,3
川,4
通,2
食,3
化,2
矿,2
轻,3
钙,1
营,1
养,3
含,3
铜,1
毒,4
实,5
红,1
血,3
轮,1
必,3
需,1
动,5
蛋,1
白,1
质,2
植,1
酸,1
生,4
活,2
阻,3
软,1
脚,1
病,10
坏,1
钩,1
倭,1
殖,1
机,3
口,1
才,1
行,6
另,2
卡,2
卖,1
葛,1
穷,1
两,2
匹,2
敌,2
索,1
解,2
孚,2
设,2
个,4
事,9
法,2
氢,1
氧,1
造,4
认,2
前,6
运,1
费,2
贵,1
寄,7
包,2
责,1
洁,1
罢,1
硝,1
结,1
构,1
达,1
是,3
显,1
米,1
晰,1
合,1
非,4
吕,2
蕴,3
宪,1
广,1
览,1
编,1
辑,1
恩,1
廊,1
保,3
夫,4
妇,2
残,2
竣,3
第,1
随,1
转,1
今,2
简,2
筑,2
求,3
淡,1
屋,1
装,1
饰,1
务,1
图,2
画,1
惟,2
描,1
肯,1
盲,1
从,1
习,1
惯,1
道,3
标,1
准,1
统,1
疑,1
问,1
尊,1
师,1
男,1
女,2
防,1
范,1
放,1
代,5
识,1
集,1
群,1
控,1
械,1
管,3
工,2
振,1
兴,1
农,1
业,2
方,5
程,3
式,1
表,2
τ,1
寸,1
希,3
腊,1
家,2
想,1
花,1
牌,1
楼,1
厉,1
寅,1
梁,1
材,1
觅,3
介,1
绍,1
致,3
吴,1
诠,1
交,2
移,3
毅,4
侯,4
话,2
君,16
死,10
央,2
研,4
究,4
院,6
尤,2
杏,5
佛,5
晓,6
峰,7
历,2
纪,1
念,1
周,1
完,1
毕,1
泪,1
容,1
济,1
身,2
侄,1
嫁,1
媳,1
宽,1
甫,1
扶,1
枢,2
佳,1
经,1
恐,3
永,2
世,2
兄,2
倒,1
症,1
受,3
铁,2
命,2
勘,1
育,1
嘱,4
清,2
色,3
校,1
址,1
临,1
努,1
进,2
单,1
就,1
立,2
蛇,3
治,1
眼,1
愈,1
癌,1
崩,1
溃,1
温,1
氏,1
缓,1
慢,1
睡,1
楷,1
连,1
益,1
婿,1
惠,1
成,1
安,3
胡,1
肖,2
堂,2
祖,1
炎,1
间,2
猿,1
闺,1
旧,1
石,1
器,2
布,1
殷,2
墟,1
开,1
掘,1
写,1
字,1
良,2
骥,1
桂,2
状,1
愿,1
黔,3
任,1
竭,1
劝,1
乡,1
便,2
选,1
告,1
坚,1
留,1
洗,1
洛,1
咏,4
霓,4
灵,1
复,1
遗,2
葬,2
逝,1
火,1
寿,2
险,1
镑,1
给,1
短,1
篇,1
传,1
记,1
登,1
族,1
陵,1
昙,1
山,4
楝,1
危,1
入,2
象,3
油,1
冻,1
做,1
耳,1
陈,2
溶,2
橡,2
向,1
拟,1
室,1
除,1
钢,1
窗,1
围,1
墙,1
门,1
阶,1
左,1
右,1
木,1
总,1
计,1
辽,1
远,1
巨,1
居,1
住,1
浪,1
库,1
滋,1
悦,1
胃,2
医,1
送,1
朝,1
患,1
俄,1
载,1
妄,1
灾,1
湘,1
托,2
粤,1
汉,1
路,1
煤,1
房,1
亲,1
黄,1
仲,1
辰,1
昌,1
庚,1
款,1
